Common-Name,Location-Direct,Lat,Lng,Distance-to-NYC,Ebird-Link,Copy-Direct,Image-Link
Blackpoll Warbler ,Venezuela ,6.24,-65.76,"2380",https://ebird.org/species/bkpwar,"These relatively large and neatly patterned songbirds are impressive athletes. Many are known to fly nonstop for over 3 days to cross the Atlantic, to and from their winter nesting grounds in Venezuela around 2,380 miles away (just as far as you traveled to NYC!). They're also resourceful, utilizing cold fronts to boost them up from South America and into New York City as they continue north. In NYC's fall and spring, listen (if you can) for their impressively high-pitched chirping, and search for their greened hues high in the treetops of Washington Square Park. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/643954741/2400
American Woodcock ,West Virginia,38.70,-80.72,310,https://ebird.org/species/amewoo,"With deep-set eyes, rusty, mottled plumage, and a boxy beak, American Woodcocks are beautifully unique, and are known for performing both a dazzling airborne mating dance and a hypnotic headbob. If you spot an American Woodcock on the forest floor of NYC's Prospect Park in the summer, they've passed through West Virginia and Kentucky along the way, before continuing around 300 miles north to NYC, just as far as you traveled to get to the city!",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/650810793/2400
Sanderling ,Puerto Rico,18.14,-66.43,"1620",https://ebird.org/species/sanderr,"Pale as seafoam and constantly in motion, the Sanderling chases waves up and down the shoreline on quick black legs in search of delicious sandcrabs and worms. After wintering along beaches in Puerto Rico, flocks sweep around 1,620 miles (just as far as you traveled!) north toward NYC’s coastlines, combining with groups that winter in NYC, to form a great ""peep"" of Sanderlings, often spotted on Governor's Island.",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/115518851/2400
Northern Flicker ,New York ,40.73,-74.00,0,https://ebird.org/species/norfli,"With polka-dotted chests and a dash of red on the backs of their necks, some Northern Flicker woodpeckers are native New Yorkers, just like you! They can often be found on tree trunks at Inwood Hill Park, searching for buried insects. If you're lucky enough to have one fly over you, delight in the colorful and intricate patterns on their feathered wings!",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/648248612/2400
Baltimore Oriole ,Costa Rica,9.90,-84.09,"2210",https://ebird.org/species/balori,"The oranges of a summer sunset and the dark of a winter night combine in one of the world's most striking birds. Baltimore Orioles fly around 2,210 miles north (the same distance you traveled here!), from warm Costa Rica winters to New York City's tallest trees. Here, they make themselves at home for the summer, creating intricate hanging nests often spotted in the highest trees on Staten Island's Freshkills Park, or Brooklyn's Prospect Park. Note that the females tend to have more yellow coloration. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/649846528/2400
Common Nighthawk,Brazil,-12.24,-52.87,"3710",https://ebird.org/species/comnig,"Common Nighthawks have, perhaps, some of the most fascinatingly patterned wings of the nightjar bird family. With a bright white stripe on their underwings, and an electric-sounding ""peent"" call, some of these birds chase insects around 3,710 miles, all the way from Brazilian rainforests (as far as you traveled here, too!) to New York City's Washington Square Park and surrounding rooftops, where they spend summer evenings. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/650711085/2400
Yellow Rumped Warbler,Delaware ,38.93,-75.51,110,https://ebird.org/species/yerwar,"Nicknamed by humans as the “butter-butt” for the bright yellow patch above their tails, Yellow-Rumped Warblers are the only wintering warblers in New York City, often seen enjoying the public library—or at least its steps—at Bryant Park. These warblers also winter in nearby states like Delaware, before flying the 100 or so miles to join their New York City community (just like you did!) as they continue north to Canada. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/649729583/2400
Arctic Tern ,Antarctica, -79.5081, 16.3360,"7800",https://ebird.org/species/arcter,"Sharp and regal, Artic Terns complete the longest migration of any birds in the world, traveling the 25,000 miles from pole to pole and back each year (perhaps you can relate, with how far you've traveled to NYC!). Between a dizzying pilgrimage from Nunavut and Greenland all the way to Antartica, some of them can be seen blessing New York City off of Rockaway Beach, with their pointed orange beaks and elegant tail feathers. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/650796413/2400
Arctic Tern ,Nunavut ,62.97,-97.22,"1660",https://ebird.org/species/arcter,"Sharp and regal, Artic Terns complete the longest migration of any birds in the world, traveling the 25,000 miles from pole to pole and back each year (perhaps you can relate, with how far you've traveled to NYC!). Between a dizzying pilgrimage from Nunavut and Greenland all the way to Antartica, some of them can be seen blessing New York City off of Rockaway Beach, with their pointed orange beaks and elegant tail feathers. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/650796413/2400
Arctic Tern ,Greenland,65.30,-46.47,"2000",https://ebird.org/species/arcter,"Sharp and regal, Artic Terns complete the longest migration of any birds in the world, traveling the 25,000 miles from pole to pole and back each year (perhaps you can relate, with how far you've traveled to NYC!). Between a dizzying pilgrimage from Nunavut and Greenland all the way to Antartica, some of them can be seen blessing New York City off of Rockaway Beach, with their pointed orange beaks and elegant tail feathers. ",https://cdn.download.ams.birds.cornell.edu/api/v2/asset/650796413/2400
